,datetime,open_price,higest_price,lowest_price,price_1d,volume,1D_EMA_5,1D_EMA_10,1D_EMA_15,price_1w,1W_EMA_5,1W_EMA_10,1W_EMA_15
370,2021-07-07,5875.55,5937.84,5875.55,5937.84,165,5922.21344029302,5938.4017133227335,5987.285695752809,,,,
371,2021-07-08,5928.85,5928.85,5868.97,5898.91,968,5914.445626862013,5931.221401809509,5976.238733783708,5920.35,6068.7172014154585,6165.828914989423,6092.701302043691
372,2021-07-11,5986.94,5986.94,5904.9,5940.83,1297,5923.2404179080095,5932.968419662326,5971.812642060745,,,,
373,2021-07-12,5988.74,5988.74,5851.6,5852.2,1108,5899.5602786053405,5918.283252450993,5956.861061803152,,,,
374,2021-07-13,5848.01,5898.91,5844.41,5855.19,1212,5884.770185736894,5906.811752005357,5944.152179077758,,,,
375,2021-07-14,5857.59,5868.97,5845.01,5846.21,490,5871.916790491263,5895.793251640747,5931.909406693038,,,,
376,2021-07-15,5868.97,5899.51,5809.08,5898.31,988,5880.714526994176,5896.25084225152,5927.709480856408,5878.548,6005.327467610306,6113.5960213549815,6065.932139288229
377,2021-07-18,5931.85,5988.74,5901.9,5952.21,1287,5904.546351329451,5906.425234569426,5930.772045749357,,,,
378,2021-07-19,5988.74,6449.87,5958.8,6228.29,3216,6012.460900886301,5964.946101011348,5967.961790030688,,,,
379,2021-07-20,6348.07,6497.78,6318.12,6437.9,4112,6154.273933924201,6050.937719009284,6026.704066276851,,,,
380,2021-07-22,6467.84,6527.73,6288.18,6318.12,1694,6208.889289282801,6099.51631555305,6063.131057992246,6234.13,6081.594978406871,6135.51129019953,6086.956871877201
381,2021-07-25,6318.12,6348.07,6192.36,6222.3,1945,6213.359526188535,6121.840621816131,6083.027175743216,,,,
382,2021-07-26,6318.12,6443.89,6148.64,6252.25,1984,6226.3230174590235,6145.551417849561,6104.180028775314,,,,
383,2021-07-27,6210.32,6333.09,6162.41,6282.19,2228,6244.9453449726825,6170.394796422368,6126.4312751784,,,,
384,2021-07-28,6318.12,6348.07,6288.18,6327.11,2047,6272.333563315122,6198.888469800119,6151.5161157811,,,,
385,2021-07-29,6378.01,6407.95,6336.09,6336.09,1670,6293.585708876748,6223.834202563734,6174.587851308463,6283.987999999999,6149.059318937914,6162.507055617797,6111.5857628925505
386,2021-08-01,6462.81,6587.62,6441.49,6464.85,5133,6350.673805917832,6267.655256643055,6210.870619894905,,,,
387,2021-08-02,6497.78,6503.77,6367.83,6378.61,1317,6359.9858706118885,6287.828846344317,6231.8380424080415,,,,
388,2021-08-03,6497.78,6587.02,6378.01,6575.64,6392,6431.870580407926,6340.158147008987,6274.813287107037,,,,
389,2021-08-04,6701.4,6706.79,6456.46,6469.04,1884,6444.260386938618,6363.59121118917,6299.091626218657,,,,
390,2021-08-05,6527.73,6527.73,6398.37,6398.37,1552,6428.963591292412,6369.914627336593,6311.5014229413255,6457.302000000001,6251.806879291944,6216.106136414561,6154.800292530982
391,2021-08-08,6384.0,6407.95,6288.18,6407.95,1499,6421.959060861609,6376.83014963903,6323.557495073659,,,,
392,2021-08-09,6524.73,6587.62,6300.81,6300.81,1254,6381.576040574406,6363.0083042501155,6320.714058189451,,,,
393,2021-08-10,6174.81,6241.47,6057.61,6186.37,4046,6316.507360382938,6330.892248931912,6303.92105091577,,,,
394,2021-08-11,6066.59,6186.37,6066.59,6100.13,1459,6244.3815735886255,6288.935476398837,6278.447169551298,,,,
395,2021-08-12,6100.13,6198.35,5918.67,5988.14,4120,6158.96771572575,6234.245389780866,6242.158773357386,6196.68,6233.431252861297,6212.574111611913,6160.035255964609
396,2021-08-15,5868.97,6045.04,5868.97,5900.11,3833,6072.681810483834,6173.493500729799,6199.402676687713,,,,
397,2021-08-16,5901.9,6024.67,5836.03,5986.94,1997,6044.101206989223,6139.57468241529,6172.844842101749,,,,
398,2021-08-17,5986.94,6078.57,5883.94,5898.91,2635,5995.704137992816,6095.817467430692,6138.602986839031,,,,
399,2021-08-18,5871.96,5988.14,5871.96,5910.89,1911,5967.432758661878,6062.194291534202,6110.138863484151,,,,
400,2021-08-19,6028.87,6078.57,5928.85,5976.76,3483,5970.541839107919,6046.660783982529,6093.466505548633,5934.722,6133.861501907532,6162.055545864292,6131.871098969033
401,2021-08-24,6048.63,6078.57,5874.96,5895.92,981,5945.667892738613,6019.253368712978,6068.773192355054,,,,
402,2021-08-25,5842.62,5919.27,5842.62,5842.62,1092,5911.318595159076,5987.138210765163,6040.504043310672,,,,
403,2021-08-26,5898.97,5928.85,5722.24,5803.09,1855,5875.242396772717,5953.674899716952,6010.827287896838,5847.21,6038.311001271689,6104.810901161693,6096.288461597904
404,2021-08-29,5916.88,5918.67,5704.34,5713.26,1655,5821.248264515145,5909.963099768414,5973.631376909733,,,,
405,2021-08-31,5659.36,5662.35,5539.59,5569.53,2283,5737.342176343431,5848.066172537793,5923.118704796017,,,,
406,2021-09-01,5614.44,5658.7,5539.59,5617.44,1032,5697.374784228954,5806.134141167285,5884.908866696514,,,,
407,2021-09-02,5620.43,5729.73,5533.66,5549.77,954,5648.1731894859695,5759.522479136869,5843.016508359451,5612.5,5896.374000847793,6015.299828223204,6035.8149038981655
408,2021-09-05,5549.77,5569.53,5132.95,5210.2,2782,5502.18212632398,5659.6456647483465,5763.91444481452,,,,
409,2021-09-06,5270.09,5401.84,5180.26,5401.84,1903,5468.734750882653,5612.771907521374,5718.655139212704,,,,
410,2021-09-07,5303.03,5341.96,5210.2,5329.98,827,5422.483167255103,5561.355197062941,5670.070746811116,,,,
411,2021-09-08,5270.09,5389.87,5138.34,5210.2,945,5351.722111503403,5497.508797596952,5612.586903459726,,,,
412,2021-09-09,5270.09,5314.41,5180.26,5189.84,802,5297.761407668935,5441.569016215688,5559.743540527261,5268.411999999999,5687.053333898529,5879.502041273529,5939.8895409108945
413,2021-09-12,5293.45,5294.05,5211.4,5258.41,781,5284.644271779291,5408.267376903745,5522.0768479613525,,,,
414,2021-09-13,5283.27,5387.47,5270.09,5312.01,1344,5293.766181186194,5390.766035648518,5495.8184919661835,,,,
415,2021-09-14,5270.09,5416.82,5223.98,5270.69,531,5286.074120790797,5368.934029166969,5467.67743047041,,,,
416,2021-09-15,5216.79,5240.15,5186.25,5240.15,1121,5270.766080527198,5345.51875113661,5439.2365016616095,,,,
417,2021-09-16,5240.15,5240.15,4988.62,5060.49,2047,5200.674053684799,5293.695341839045,5391.893188953908,5228.35,5534.152222599019,5761.110761041979,5850.947098297032
418,2021-09-20,5150.32,5150.32,4790.99,4820.94,1604,5074.096035789867,5207.739825141036,5320.52404033467,,,,
419,2021-09-21,4725.72,4880.82,4460.41,4737.09,3042,4961.760690526578,5122.167129660847,5247.594785292837,,,,
420,2021-09-22,4790.99,4941.31,4737.09,4910.77,2590,4944.763793684386,5083.731287904329,5205.4916871312325,,,,
421,2021-09-23,4941.31,4964.67,4722.18,4844.29,1005,4911.2725291229235,5040.196508285359,5160.341476239829,4828.2725,5298.85898173268,5591.503804488892,5723.1127735099035
422,2021-09-26,4820.94,4850.88,4703.56,4725.12,1923,4849.22168608195,4982.909870415294,5105.93879170985,,,,
423,2021-09-27,4632.29,4731.11,4631.09,4665.23,3200,4787.891124054633,4925.1498939761495,5050.850192746118,,,,
424,2021-09-28,4587.38,4644.87,4480.66,4536.47,1915,4704.08408270309,4854.480822344122,4986.552668652854,,,,
425,2021-09-29,4551.44,4926.34,4470.6,4658.04,1437,4688.736055135393,4818.764309190645,4945.488585071247,,,,
426,2021-09-30,4731.11,5123.37,4725.12,4872.44,3435,4749.970703423596,4828.5235257014365,4936.357511937342,4691.46,5096.392654488453,5427.859476400002,5594.156176821166
427,2021-10-03,4969.88,4969.88,4776.8,4798.78,2833,4766.240468949065,4823.115611937539,4919.160322945174,,,,
428,2021-10-04,4850.88,4850.88,4695.77,4761.05,1202,4764.51031263271,4811.830955221622,4899.396532577028,,,,
429,2021-10-05,4856.27,4916.76,4636.48,4636.48,1613,4721.833541755141,4779.948963363145,4866.531966004899,,,,
430,2021-10-06,4728.71,4822.73,4636.48,4731.11,2334,4724.925694503427,4771.069151842573,4849.604220254287,,,,
431,2021-10-10,4825.73,4826.93,4611.33,4680.2,1186,4710.017129668951,4754.547487871196,4828.4286927225,,,,
432,2021-10-11,4772.43,4772.43,4491.56,4587.38,3321,4669.138086445968,4724.153399167341,4798.297606132187,,,,
433,2021-10-17,4587.38,4758.05,4587.38,4674.81,674,4671.028724297312,4715.181872046007,4782.861655365663,,,,
434,2021-10-18,4751.47,4752.07,4659.24,4724.52,2999,4688.859149531541,4716.879713492187,4775.568948444956,,,,
435,2021-10-19,4818.97,4818.97,4527.49,4653.25,1426,4676.989433021028,4705.310674675426,4760.279079889337,,,,
436,2021-10-20,4745.96,4814.95,4651.1,4786.2,620,4713.392955347353,4720.017824734439,4763.519194903169,,,,
437,2021-10-21,4743.08,4761.05,4671.22,4724.4,589,4717.061970231569,4720.814583873632,4758.629295540272,4712.636,4811.667601329913,5094.980015248385,5296.401186815741
438,2021-10-24,4645.35,4738.05,4624.51,4642.47,560,4692.197980154379,4706.570114078426,4744.109383597738,,,,
439,2021-10-25,4714.34,4725.12,4637.59,4671.29,1156,4685.228653436253,4700.155547882348,4735.006960648021,,,,
440,2021-10-26,4703.56,4958.68,4692.78,4822.13,2419,4730.862435624169,4722.332720994648,4745.897340567018,,,,
441,2021-10-27,4743.08,5029.82,4743.08,4848.01,1470,4769.911623749446,4745.183135359257,4758.661422996141,,,,
442,2021-10-28,4848.01,4872.44,4804.17,4842.98,1162,4794.267749166298,4762.964383475755,4769.201245121623,4765.376,4796.237067553276,5035.0520124759505,5230.023038463774
443,2021-10-31,4872.44,5277.76,4847.29,5130.43,1895,4906.321832777532,4829.77631375289,4814.354839481421,,,,
444,2021-11-01,5131.15,5232.99,5025.8,5066.48,891,4959.707888518355,4872.813347616001,4845.8704845462435,,,,
445,2021-11-02,5000.36,5077.25,4958.68,4967.3,1130,4962.23859234557,4889.992738958546,4861.049173977964,,,,
446,2021-11-03,5030.54,5167.8,4941.14,4993.89,1061,4972.789061563713,4908.883150056992,4877.654277230718,,,,
447,2021-11-08,5090.91,5167.8,4958.68,4958.68,559,4968.086041042476,4917.937122773903,4887.782492576879,,,,
448,2021-11-09,4894.07,4894.07,4796.98,4879.63,1488,4938.600694028318,4910.972191360466,4886.763431004769,,,,
449,2021-11-11,4814.95,4860.94,4743.08,4802.01,748,4893.070462685546,4891.160883840382,4876.1692521291725,4880.106666666667,4878.257585579234,5007.545534522467,5165.447769032161
450,2021-11-14,4725.12,4779.02,4725.12,4771.83,520,4852.6569751236975,4869.464359505767,4863.1268456130265,,,,
451,2021-11-15,4786.2,4866.69,4786.2,4840.1,892,4848.471316749132,4864.125385050173,4860.248489911398,,,,
452,2021-11-16,4779.02,4958.68,4779.02,4904.78,1259,4867.240877832754,4871.517133222868,4865.814928672473,,,,
453,2021-11-17,4994.61,5030.54,4958.68,4958.68,1057,4897.720585221837,4887.364927182347,4877.423062588414,,,,
454,2021-11-18,4859.5,5054.98,4850.88,4858.07,1131,4884.503723481224,4882.038576785556,4875.003929764862,4866.692,4874.402390386156,4981.935800972928,5128.1032979031415
455,2021-11-21,4761.62,4811.35,4671.22,4763.92,2285,4844.309148987483,4860.562471915455,4861.118438544254,,,,
456,2021-11-22,4761.05,4782.61,4708.59,4779.02,435,4822.546099324989,4845.736567930826,4850.856133726222,,,,
457,2021-11-23,4685.59,4774.7,4685.59,4707.15,410,4784.080732883326,4820.539010125221,4832.892867010444,,,,
458,2021-11-24,4614.44,4664.03,4563.42,4648.94,1273,4739.033821922218,4789.339190102452,4809.898758634139,,,,
459,2021-11-25,4582.11,4671.22,4549.05,4570.61,1097,4682.892547948145,4749.570246447461,4779.987663804872,4693.928,4814.244260257437,4929.570746250577,5073.8313856652485
460,2021-11-28,4527.49,4527.49,4304.71,4304.71,2110,4556.831698632097,4668.686565275195,4720.5779558292625,,,,
461,2021-11-29,4240.75,4492.99,4240.75,4293.93,782,4469.197799088065,4600.549007952432,4667.246961350605,,,,
462,2021-11-30,4379.45,4379.45,4209.13,4254.4,729,4397.598532725377,4537.612824688353,4615.641091181779,,,,
463,2021-12-01,4265.18,4287.46,4236.44,4274.52,948,4356.5723551502515,4489.777765654107,4573.000954784056,,,,
464,2021-12-02,4311.89,4534.67,4168.16,4223.5,3109,4312.214903433502,4441.363626444268,4529.313335436049,4270.212,4632.900173504959,4809.687337841381,4973.378962457093
465,2021-12-05,4165.29,4178.94,4024.43,4025.22,1091,4216.5499356223345,4365.701148908946,4466.301668506543,,,,
466,2021-12-06,3953.29,4060.37,3714.7,4017.25,7550,4150.116623748223,4302.346394561865,4410.170209943225,,,,
467,2021-12-07,4096.3,4160.98,3992.09,4071.79,1317,4124.007749165483,4260.427050096071,4367.872683700321,,,,
468,2021-12-08,4152.35,4152.35,3916.64,3923.82,787,4057.2784994436556,4199.225768260421,4312.366098237781,,,,
469,2021-12-09,3916.64,3988.5,3851.96,3895.08,550,4003.2123329624374,4143.926537667618,4260.205335958059,3986.632,4417.477449003306,4660.040912779312,4850.035592149956
470,2021-12-12,3895.08,3945.38,3521.38,3593.96,1573,3866.794888641625,4043.9326217280504,4176.924668963301,,,,
471,2021-12-13,3529.28,3628.46,3406.4,3471.07,2246,3734.8865924277507,3939.775781413859,4088.6928353428884,,,,
472,2021-12-14,3540.06,3752.28,3521.38,3736.97,1882,3735.581061618501,3902.9020029749754,4044.7274809250275,,,,
473,2021-12-15,3780.09,3844.77,3736.97,3754.94,2586,3742.034041079001,3875.999820615889,4008.504045809399,,,,
