,s,o,h,l,c,v,t
270,ok,1085.0,1142.0,1055.0,1055.0,55646,1723075200
271,ok,1060.0,1112.1,1030.0,1072.9,68499,1723334400
272,ok,1075.2,1122.0,1050.0,1074.0,96212,1723420800
273,ok,1090.0,1139.3,1033.9,1058.9,41556,1723507200
274,ok,1058.9,1058.9,1015.0,1019.9,39467,1723593600
275,ok,1012.1,1080.0,992.0,1020.0,71817,1723680000
276,ok,1030.0,1060.8,960.0,989.0,87619,1723939200
277,ok,975.0,985.1,941.0,948.0,33392,1724198400
278,ok,948.0,993.0,948.0,974.0,34644,1724284800
279,ok,974.0,1054.0,935.3,940.0,34089,1724544000
280,ok,950.0,977.0,890.0,899.0,48889,1724716800
281,ok,915.0,935.0,882.0,896.0,38916,1724803200
282,ok,887.0,910.0,877.1,888.0,27652,1724889600
283,ok,885.0,899.0,862.0,865.0,23053,1725148800
284,ok,882.3,910.0,862.3,906.0,14841,1725235200
285,ok,924.0,929.0,900.0,905.0,35913,1725321600
286,ok,905.0,919.0,860.0,862.0,15764,1725408000
287,ok,863.0,880.0,846.0,870.0,13951,1725494400
288,ok,853.0,897.0,853.0,877.2,19489,1725753600
289,ok,861.0,889.0,835.0,869.0,18661,1725840000
290,ok,886.0,902.9,852.6,853.0,9713,1725926400
291,ok,870.0,885.0,850.0,851.0,12916,1726012800
292,ok,838.1,870.0,838.1,868.0,10004,1726099200
293,ok,885.0,885.0,821.0,821.0,17132,1726358400
294,ok,821.0,837.4,795.1,800.0,15265,1726444800
295,ok,787.0,814.0,784.2,788.1,10802,1726617600
296,ok,790.0,819.8,790.0,800.0,18258,1726963200
297,ok,805.0,805.0,770.0,776.0,9751,1727049600
298,ok,771.1,785.9,744.4,746.0,10690,1727136000
299,ok,748.0,769.0,732.9,757.0,11408,1727222400
300,ok,772.0,789.0,744.1,744.1,10773,1727308800
301,ok,740.0,755.0,737.3,746.1,5287,1727568000
302,ok,746.2,770.0,736.0,770.0,7296,1727654400
303,ok,780.0,847.0,780.0,847.0,28731,1727740800
304,ok,850.0,860.0,820.0,833.0,18867,1727827200
305,ok,818.6,861.0,818.6,857.0,12195,1728172800
306,ok,874.0,891.0,845.0,879.9,33643,1728259200
307,ok,896.0,896.0,851.0,860.0,7674,1728345600
308,ok,861.0,867.3,848.0,857.0,6530,1728432000
309,ok,840.0,873.0,840.0,855.0,5909,1728950400
310,ok,860.0,892.0,860.0,872.0,9344,1729036800
311,ok,857.0,890.8,857.0,860.1,10245,1729123200
312,ok,843.0,877.0,830.0,830.0,12485,1729382400
313,ok,825.0,832.0,810.0,810.6,10106,1729468800
314,ok,815.0,835.0,800.0,822.0,11804,1729555200
315,ok,825.0,835.0,804.1,805.0,11422,1729641600
316,ok,795.2,817.0,795.2,806.0,8989,1729728000
317,ok,796.3,816.0,789.9,810.3,6423,1729987200
318,ok,826.5,837.0,818.0,835.0,7340,1730073600
319,ok,837.0,877.0,837.0,850.2,22421,1730160000
320,ok,860.0,879.0,855.1,877.0,19292,1730246400
321,ok,889.0,889.0,860.0,860.0,4435,1730764800
322,ok,876.0,877.0,850.0,877.0,4632,1730851200
323,ok,877.0,899.0,876.1,899.0,16147,1731196800
324,ok,899.0,918.0,897.0,900.2,17241,1731283200
325,ok,905.0,930.0,902.0,920.0,35727,1731369600
326,ok,905.1,965.0,905.1,944.0,53834,1731456000
327,ok,946.4,966.0,935.0,949.0,37284,1731542400
328,ok,965.0,985.8,942.0,947.0,25601,1731801600
329,ok,930.1,940.0,895.0,895.0,38900,1731974400
330,ok,909.0,921.0,892.0,921.0,17378,1732060800
331,ok,929.0,930.0,896.8,900.0,20904,1732147200
332,ok,904.0,905.0,880.1,890.0,21979,1732406400
333,ok,900.0,918.0,878.1,898.0,18293,1732492800
334,ok,915.0,930.0,905.0,928.0,15621,1732579200
335,ok,945.9,945.9,927.1,937.0,10062,1732665600
336,ok,920.0,947.0,901.6,914.0,14780,1732752000
337,ok,932.2,969.0,922.0,949.9,67386,1733011200
338,ok,963.0,1025.0,950.0,992.9,74336,1733097600
339,ok,1000.0,1002.0,960.0,972.0,21704,1733184000
340,ok,972.0,977.0,948.0,948.0,21334,1733270400
341,ok,935.0,952.8,920.1,921.0,15208,1733356800
342,ok,921.0,938.0,905.0,905.0,19069,1733616000
343,ok,900.0,922.9,900.0,912.0,10415,1733702400
344,ok,912.0,922.0,907.5,921.0,8045,1733788800
345,ok,910.1,931.0,910.0,929.0,6725,1733875200
